#,src（来源实体）,dst（目标实体）,relation description（关系描述）,关系描述（中文）,source chunk 摘要（前500字）,conf_score,variant,★ taxonomy,★ manual_label,? notes / 备注
1,AIR Lyndhurst Hall,Interstellar Soundtrack,The Interstellar soundtrack was also recorded at AIR Lyndhurst Hall in late spring 2014.,《星际穿越》原声带于2014年春末在AIR林德赫斯特音乐厅录制。,"concept of the film, though it had not yet been written. Zimmer was originally skeptical, noting that he had written a ""tiny, tiny little fragile"" piece while Nolan had described an intense, epic space film. However, Nolan reassured Zimmer that the piano piece provided ""the heart"" of the film. The piece can be heard at the conclusion of the film.For the film's signature organ, Zimmer specifically requested that organist Roger Sayer, the music director of Temple Church in London, play the churc",,baseline,,correct,Chunk明确提及recorded at AIR Lyndhurst Hall in late spring 2014，完全支持。
81,Takara,Long Island Records,Takara's album 'Taste of Heaven' was released by the European label Long Island records.,拉丁格莱美奖旨在表彰拉丁音乐领域的杰出艺术成就。,"Passage 1: TML Entertainment TML Entertainment is a record label launched by Canadian rock band Triumph in 2003. It is managed by Triumph's members Gil Moore and Mike Levine. The label was previously known as TRC from 1995 until 2003. The decision for Triumph to launch their own label came after the band's 10 year/5-album contract with MCA Records expired at the end of 1994. Subsequently, all of Triumph's albums were re-released on the TRC imprint using the 1980s remasters. Then in 2003, TRC c",,baseline,E. cross_chunk_hallucination,wrong,Chunk为TML Entertainment（加拿大摇滚厂牌），与Takara及Long Island Records无关。
82,The Death of Tragedy,Abney Park,"""The Death of Tragedy"" is the title of a 2005 music album released by the band Abney Park.",Led Zeppelin 发行过双张专辑《Physical Graffiti》。,"Passage 1: Black King (comics) Black King, in comics, may refer to: Marvel Comics characters, members of Hellfire Club, in various branches at various times. The title also gives its owner complete ownership of the club. Sebastian Shaw (comics), as originally introduced in X-Men comics Blackheart, part of Selene's reformed group Sunspot (comics), replaced Sebastian Shaw when he became Lord Imperial DC Comics characters, who are members of Checkmate: Amanda Waller, former organizer of Suicide S",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Black King（漫画角色），与Abney Park乐队及专辑The Death of Tragedy无关。
83,The Goodies,Graeme Garden,"Graeme Garden co-founded, wrote for, and performed in The Goodies comedy group and its television series.<SEP>Graeme Garden is a member of the comedy group The Goodies.",Led Zeppelin 于1975年发行了专辑《Physical Graffiti》。,"Passage 1: I'm Feelin' U ""I'm Feelin' U"" is a 2007 song by the musician CeCe Peniston. The song was originally released in February on the partially mixed dance compilation Miami 2007, a part of Defected In The House series, that featured overall thirty-eight tracks by various artists and was issued on ITH Records. In May 2007, ""I'm Feelin' U"" was released also on single on Soulfuric Recordings with four remixes, of which one was produced also by Ron Carroll. The rest three were mixed by DJ Fu",,baseline,E. cross_chunk_hallucination,wrong,Chunk为CeCe Peniston歌曲介绍，与The Goodies喜剧团体完全无关。
84, it gets wearisome. But hey," they also laughed when Keith started putting out massive sets of solo piano...\""""\n\nTrack listing\nAll music by Keith JarrettDisc One:\n\n\""""Book of Ways 1\"""" - 9:08\n\""""Book of Ways 2\"""" - 3:41\n\""""Book of Ways 3\"""" - 4:03\n\""""Book of Ways 4\"""" - 4:54\n\""""Book of Ways 5\"""" - 2:58\n\""""Book of Ways 6\"""" - 4:09\n\""""Book of Ways 7\"""" - 3:36\n\""""Book of Ways 8\"""" - 5:35\n\""""Book of Ways 9\"""" - 5:02\n\""""Book of Ways 10\"""" - 3:35Disc Two:  \n\n\""""Book of Ways 11\"""" - 6:16\n\""""Book of Ways 12\"""" - 4:08\n\""""Book of Ways 13\"""" - 4:38\n\""""Book of Ways 14\"""" - 7:13\n\""""Book of Ways 15\"""" - 5:48\n\""""Book of Ways 16\"""" - 7:37\n\""""Book of Ways 17\"""" - 3:56\n\""""Book of Ways 18\"""" - 7:16\n\""""Book of Ways 19\"""" - 5:38\n\nPersonnel\nKeith Jarrett 鈥?clavichordProduction\n\nManfred Eicher - producer\nMartin Wieland - recording engineer\nKishin Shinoyama - photo\nBarbara Wojirsch - cover design and layout\nPassage 4:\nThe Stars and Stripes Forever\n\""""The Stars and Stripes Forever\"""" is a patriotic American march written and composed by John Philip Sousa in 1896. By a 1987 act of the U.S. Congress", it is the official National March of the United States of America.\n\nHistory\nIn his 1928 autobiography,《星球大战》（Star Wars）是乔治·卢卡斯（George Lucas）创作的经典科幻电影系列。,it was officially adopted as the national march of the United States of America.Historically, 1896. He was on board an ocean liner on his way home from a vacation with his wife in Europe and had just learned of the recent death of David Blakely,igher gear. Sometimes this music is charming; a lot of the time,F. alias_merge_error,wrong,src/dst均为文本片段非实体，entity解析出错，疑似边界截断错误。
85,The Greatest Event in Television History,Jeff Probst,Jeff Probst hosts The Greatest Event in Television History.,首部《星球大战》电影于1977年公映。,"1, 1992, the network officially launched as the first 24-hour single-genre cable channel with animation as its main theme. In 1994, Hanna-Barbera's new division Cartoon Network Studios was founded and started production on What a Cartoon!. This show debuted in 1995, offering original animated shorts. In 1996, Cartoon Network aired two preschool programs: Big Bag, a live-action/puppet television program with animated short series produced by Children's Television Workshop, and Small World, whic",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Cartoon Network历史，与The Greatest Event in Television History及Jeff Probst无关。
86,The Witch,Embalmers,The Witch restores the ruining work of the embalmers on the night of burial.,《迷失》（Lost）是由J.J.艾布拉姆斯等人联合创作的悬疑剧情类电视剧。,"harmonious sound Wandered upon the earth where'er she passed, _495 And happy thoughts of hope, too sweet to last. 57. But her choice sport was, in the hours of sleep, To glide adown old Nilus, where he threads Egypt and Aethiopia, from the steep Of utmost Axume, until he spreads, _500 Like a calm flock of silver-fleeced sheep, His waters on the plain: and crested heads Of cities and proud temples gleam amid, And many a vapour-belted pyramid. 58. By Moeris and the Mareotid lakes, _505 Strewn wi",,baseline,A. unsupported_relation,ambiguous,Chunk为Shelley诗歌中女巫形象，未明确提及女巫恢复防腐师工作的情节。
87,The Witch,Priests,The Witch sees the priests asleep and later influences their dreams to write explanations.,《迷失》（Lost）在ABC电视网播出，共播出六季。,"harmonious sound Wandered upon the earth where'er she passed, _495 And happy thoughts of hope, too sweet to last. 57. But her choice sport was, in the hours of sleep, To glide adown old Nilus, where he threads Egypt and Aethiopia, from the steep Of utmost Axume, until he spreads, _500 Like a calm flock of silver-fleeced sheep, His waters on the plain: and crested heads Of cities and proud temples gleam amid, And many a vapour-belted pyramid. 58. By Moeris and the Mareotid lakes, _505 Strewn wi",,baseline,H. vague_ambiguous_but_useful,ambiguous,Chunk为Shelley诗歌埃及场景，女巫与祭司的互动可能在后续诗节，模糊但有文学检索价值。
88,Third Plague Pandemic,San Francisco Plague,The San Francisco plague of 1900鈥?904 was the first North American epidemic of the Third Plague Pandemic.,路易斯·阿姆斯特朗（Louis Armstrong）是爵士乐历史上最伟大的音乐家之一。,"or armpits, some of which grew as large as a common apple, others as an egg ... From the two said parts of the body this deadly gavocciolo soon began to propagate and spread itself in all directions indifferently; after which the form of the malady began to change, black spots or livid making their appearance in many cases on the arm or the thigh or elsewhere, now few and large, now minute and numerous. As the gavocciolo had been and still was an infallible token of approaching death, such als",,baseline,E. cross_chunk_hallucination,wrong,Chunk为黑死病症状描述，与第三次鼠疫大流行或旧金山1900-1904疫情完全无关。
89,Town Of Clarkstown,Route 92,Route 92 is one of the bus routes that serves the Town of Clarkstown.,路易斯·阿姆斯特朗以其独树一帜的小号演奏和沙哑嗓音而享誉全球。,"Routes 59, 91, 92, 93, and 97 serve the town.Commuter transportation is provided by New Jersey Transit's Pascack Valley Line at Nanuet, with service to Hoboken and connecting service to New York Penn Station. Tappan ZEExpress, operated by Transport of Rockland provides bus service from the Palisades Center in West Nyack and the Hudson Link bus in Central Nyack to the Tarrytown train station and the White Plains TransCenter. In addition, Rockland Coaches provides express service to the Port Aut",,baseline,,correct,"Chunk原文：Routes 59, 91, 92, 93, and 97 serve the town，直接支持Route 92服务Clarkstown。"
90,Transporter-1 Mission,Falcon 9 Rocket,The Transporter-1 mission was launched on a SpaceX Falcon 9 rocket.,玛格丽特·撒切尔（Margaret Thatcher）曾任英国首相，执政长达十余年。,"Passage 1: Polar Satellite Launch Vehicle The Polar Satellite Launch Vehicle (PSLV) is an expendable medium-lift launch vehicle designed and operated by the Indian Space Research Organisation (ISRO). It was developed to allow India to launch its Indian Remote Sensing (IRS) satellites into sun-synchronous orbits, a service that was, until the advent of the PSLV in 1993, only commercially available from Russia. PSLV can also launch small size satellites into Geostationary Transfer Orbit (GTO).So",,baseline,E. cross_chunk_hallucination,wrong,Chunk为PSLV印度火箭介绍，与SpaceX Falcon 9及Transporter-1任务无关。
91,University of Cambridge,The Goodies,The members of The Goodies met while they were students at the University of Cambridge.,玛格丽特·撒切尔是英国历史上第一位担任首相的女性。,"Passage 1: I'm Feelin' U ""I'm Feelin' U"" is a 2007 song by the musician CeCe Peniston. The song was originally released in February on the partially mixed dance compilation Miami 2007, a part of Defected In The House series, that featured overall thirty-eight tracks by various artists and was issued on ITH Records. In May 2007, ""I'm Feelin' U"" was released also on single on Soulfuric Recordings with four remixes, of which one was produced also by Ron Carroll. The rest three were mixed by DJ Fu",,baseline,E. cross_chunk_hallucination,wrong,Chunk为CeCe Peniston歌曲，与University of Cambridge或The Goodies无关。
92,Violet Ray,Englishman's Sister,"Violet Ray observes the Englishman's sister at the boarding house, noting her as very pretty and nice but criticising her British style of dress.",迈克尔·杰克逊（Michael Jackson）于1982年发行了传奇专辑《颤栗》（Thriller）。,"Transcribed from the 1887 Macmillan and Co. edition by David Price, email ccx074@coventry.ac.uk. Proofing by Andy McLauchan and David Stapleton. A BUNDLE OF LETTERS by Henry James CHAPTER I FROM MISS MIRANDA MOPE, IN PARIS, TO MRS. ABRAHAM C. MOPE, AT BANGOR, MAINE. September 5th, 1879. My dear mother--I have kept you posted as far as Tuesday week last, and, although my letter will not have reached you yet, I will begin another before my news accumulates too much. I am glad you show my letters",,baseline,B. wrong_endpoint,ambiguous,Chunk为Henry James同篇作品，但visible部分为Miranda Mope视角，Violet Ray观察Englishman's Sister的描述实体指向存在偏差。
93,Wale Adebanwi,University Of Cambridge,Wale Adebanwi earned a Ph.D. in Social Anthropology from the University of Cambridge.,《颤栗》（Thriller）至今仍被认为是史上最畅销的专辑之一。,"Passage 1: Alex Cox Alexander B. H. Cox (born 15 December 1954) is an English film director, screenwriter, actor, non-fiction author and broadcaster. Cox experienced success early in his career with Repo Man and Sid and Nancy, but since the release and commercial failure of Walker, his career has moved towards independent films. Cox received a co-writer credit for the screenplay of Terry Gilliam's Fear and Loathing in Las Vegas (1998) for previous work on the script before it was rewritten by",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Alex Cox（英国导演）传记，与Wale Adebanwi（尼日利亚学者）及剑桥大学博士无关。
94,Watercolor,Nelson Byrd Woltz Landscape Architects,Nelson Byrd Woltz Landscape Architects collaborated on the landscape design for the WaterColor community.,摩城唱片（Motown Records）由贝瑞·戈迪（Berry Gordy）于1959年在底特律创立。,"Mountain climbing is permitted by the National Park Service along the Maryland Heights cliffs. Bibliography Whitman, T. Stephen, Antietam 1862: Gateway to Emancipation, ABC-CLIO, 2012 ISBN 0313397341. External links NPS Maryland Heights Brochure Passage 18: Pangi Territory Pangi Territory is an administrative area in Maniema Province of the Democratic Republic of the Congo. The headquarters is the town of Pangi. The Elila River flows through Pangi territory, entering the Lualaba River to the w",,baseline,E. cross_chunk_hallucination,wrong,Chunk为Maryland Heights和刚果金行政区内容，与WaterColor社区及景观建筑师无关。
95,Webex,Min Zhu,Min Zhu co-founded WebEx in 1995.,摩城唱片公司（Motown Records）于1959年在底特律正式成立。,"Between 2006 and the end of 2021 at least 464 people have had their citizenship removed by the government since the law was introduced. There is a right of appeal. This provision has been in force since 16 June 2006 when the Immigration, Nationality and Asylum Act 2006 (Commencement No 1) Order 2006 brought it into force. Loss of British nationality in this way applies also to dual nationals who are British by birth. The Secretary of State may not deprive a person of British nationality, unles",,baseline,E. cross_chunk_hallucination,wrong,Chunk为英国国籍法，与WebEx创始人Min Zhu完全无关。
96,Willem Janszoon,Ambon,Janszoon was sent to the island of Ambon in 1607.,莫扎特（Mozart）创作了歌剧《魔笛》（The Magic Flute）。,"400th anniversary. Denis William Eden painting: John Cabot and his sons receive the charter from Henry VII to sail in search of new lands (1910), at Houses of Parliament. Giovanni Caboto Club (est. 1925), an Italian club located in Windsor, Ontario. A 1952 statue of the explorer is at Bristol's City Hall. John Cabot University is a United States-affiliated university established in 1972 in Rome, Italy. A 1985 bronze statue of the explorer by Stephen Joyce, is located at Bristol Harbourside. A",,baseline,E. cross_chunk_hallucination,wrong,Chunk为John Cabot探险家遗产，与Willem Janszoon被派往Ambon岛无关。
97,Willem Janszoon,Joris van Spilbergen,Willem Janszoon served as master of the Lam under Joris van Spilbergen in 1601.,莫扎特（Mozart）在生命最后阶段创作《安魂曲》（Requiem），但未能完成便与世长辞。,"400th anniversary. Denis William Eden painting: John Cabot and his sons receive the charter from Henry VII to sail in search of new lands (1910), at Houses of Parliament. Giovanni Caboto Club (est. 1925), an Italian club located in Windsor, Ontario. A 1952 statue of the explorer is at Bristol's City Hall. John Cabot University is a United States-affiliated university established in 1972 in Rome, Italy. A 1985 bronze statue of the explorer by Stephen Joyce, is located at Bristol Harbourside. A",,baseline,E. cross_chunk_hallucination,wrong,Chunk为John Cabot内容，与Willem Janszoon在van Spilbergen麾下服役无关。
98,Willem Janszoon,Tiku,Janszoon captured ships of the British East India Company near Tiku on West Sumatra.,尼尔·阿姆斯特朗（Neil Armstrong）是人类历史上第一位在月球表面行走的宇航员。,"400th anniversary. Denis William Eden painting: John Cabot and his sons receive the charter from Henry VII to sail in search of new lands (1910), at Houses of Parliament. Giovanni Caboto Club (est. 1925), an Italian club located in Windsor, Ontario. A 1952 statue of the explorer is at Bristol's City Hall. John Cabot University is a United States-affiliated university established in 1972 in Rome, Italy. A 1985 bronze statue of the explorer by Stephen Joyce, is located at Bristol Harbourside. A",,baseline,E. cross_chunk_hallucination,wrong,Chunk为John Cabot内容，与Willem Janszoon在苏门答腊Tiku附近行动无关。
99,Wurmser,Davidovich,Wurmser left Davidovich in command of Austrian forces at Trento.,尼尔·阿姆斯特朗参与了人类首次登月的阿波罗11号（Apollo 11）任务。,"(Valsugana) southward to Bassano del Grappa. An army that held both Trento and Bassano could move troops and supplies between the two places free from French interference. Operations Bonaparte posted General of Division Claude Vaubois with 10,000 men on the west side of Lake Garda. General of Division Andr茅 Mass茅na defended the Adige River valley with 13,000 troops and General of Division Pierre Augereau covered Verona with 10,000 more. General of Division Charles Kilmaine maintained the block",,baseline,,correct,Chunk描述拿破仑意大利战役军事部署，Wurmser将Davidovich留守Trento有上下文支持。
100,Yusuf Islam,An Other Cup,"Yusuf Islam released his debut pop album An Other Cup in 2006, marking his return to secular music.",尼采（Nietzsche）提出了超人（Ubermensch）这一哲学概念。,"and artist, for his return to secular music, when the son brought a guitar back into the house, which Islam began playing. Muhammad's professional name is Yoriyos and his debut album was released in February 2007. Yoriyos created the art on Islam's album An Other Cup, something that Cat Stevens did for his own albums in the 1970s. In May 2006, in anticipation of his forthcoming new pop album, the BBC1 programme Imagine aired a 49-minute documentary with Alan Yentob called Yusuf: The Artist for",,baseline,,correct,Chunk原文提及Islam's album An Other Cup及forthcoming new pop album，直接支持2006年回归世俗音乐发行专辑。
101,Yusuf Islam,Fondazione Mediterraneo,Yusuf Islam received the Mediterranean Art and Creativity Award from the Fondazione Mediterraneo in 2007.,尼采（Nietzsche）的著作对存在主义及后现代哲学产生了深远影响。,"and artist, for his return to secular music, when the son brought a guitar back into the house, which Islam began playing. Muhammad's professional name is Yoriyos and his debut album was released in February 2007. Yoriyos created the art on Islam's album An Other Cup, something that Cat Stevens did for his own albums in the 1970s. In May 2006, in anticipation of his forthcoming new pop album, the BBC1 programme Imagine aired a 49-minute documentary with Alan Yentob called Yusuf: The Artist for",,baseline,A. unsupported_relation,ambiguous,Chunk描述Yusuf Islam 2006-2007年活动，未提及Fondazione Mediterraneo奖项，chunk不支持。
102,Yusuf Islam,Rally to Restore Sanity and/or Fear,"Yusuf Islam appeared at the Rally to Restore Sanity and/or Fear in Washington, D.C., performing ""Peace Train"" alongside Ozzy Osbourne.",Yusuf Islam（即原名 Cat Stevens）出席了在华盛顿特区举行的恢复理智集会，与奥兹·奥斯本共同演唱《和平列车》（Peace Train）。,"and artist, for his return to secular music, when the son brought a guitar back into the house, which Islam began playing. Muhammad's professional name is Yoriyos and his debut album was released in February 2007. Yoriyos created the art on Islam's album An Other Cup, something that Cat Stevens did for his own albums in the 1970s. In May 2006, in anticipation of his forthcoming new pop album, the BBC1 programme Imagine aired a 49-minute documentary with Alan Yentob called Yusuf: The Artist for",,baseline,A. unsupported_relation,wrong,Chunk描述Yusuf Islam回归音乐（2006年），未提及2010年的Rally to Restore Sanity，chunk不支持。
